ID,Name,Handedness,Birthday,Country,Full Name
0000000807,羅培茲,右投右打,1975/04/04,委內瑞拉,Juan Lopez
0000000808,薛伯特,右投右打,1972/04/10,澳大利亞,Shayne Bennett
0000000809,麥克,右投右打,1975/09/23,美國,Michael Marchesano
0000000810,巴比,右投右打,1968/03/03,波多黎各,Bobby Munoz
0000000811,彼得,右投右打,1978/12/02,澳大利亞,Peter Moylan
0000000812,亞士達,右投右打,1969/01/23,古巴,Osmani Estrada
0000000813,崔東進,右投右打,1976/03/21,韓國,Choi Dong Jin
0000000814,潘尼亞,左投左打,1975/08/03,多明尼加,Jesus Pena
0000000815,金京泰,左投左打,1975/11/06,韓國,Kim Kyung Tae
0000000816,卡巴傑洛,右投右打,1978/01/25,多明尼加,Jose Caballero
0000000817,威廉斯,右投右打,1971/03/10,美國,Shad Williams
0000000818,卡馬爾,右投右打,1979/09/07,墨西哥,Emil Kamar
0000000819,賀南德茲,左投左打,1970/09/19,墨西哥,Jose Hernardez
0000000820,許竹見,右投右打,1981/01/25,中華民國,
0000000821,林英傑,左投左打,1981/05/01,中華民國,
0000000822,克萊柏,右投右打,1976/12/04,巴西,Kleber Ojima
0000000823,卡洛斯,右投右打,1973/06/03,美國,Carlos Montane
0000000824,威力斯,右投右打,1973/04/19,多明尼加,Willis Otanez
0000000825,米西亞,右投右打,1972/04/14,多明尼加,Roberto Mejia
0000000826,野村貴仁,左投左打,1969/01/10,日本,Nomura Takahito
0000000827,汪天祥,右投右打,1980/04/30,中華民國,
0000000828,奇戈,右投右打,1978/06/25,委內瑞拉,Delvis Pacheco
0000000829,里拉,右投右打,1972/04/26,委內瑞拉,Felip Lira
0000000830,納瓦,右投右打,1968/11/28,委內瑞拉,Lipso Nava
0000000831,鄧蒔陽,右投左打,1979/07/24,中華民國,
0000000832,魔拉,右投右打,1973/05/31,多明尼加,Francisco Morales
0000000833,傑森,右投右打,1973/05/31,美國,Martin Janzen
0000000834,艾瓦多,右投右打,1978/01/24,美國,Giancarlo Alvarado
0000000835,賈西亞,右投右打,1971/11/16,美國,Omar Garcia
0000000836,拓霸,右投右打,1978/04/25,委內瑞拉,Angel Tovar
0000000837,陳元甲,右投右打,1980/01/17,中華民國,
0000000838,陳克帆,右投右打,1980/09/15,中華民國,
0000000839,施翔凱,右投右打,1982/02/22,中華民國,
0000000840,桑坦那,右投右打,1974/12/21,多明尼加,Pedro Santana
0000000841,萊恩斯,右投右打,1975/05/20,美國,Michael Lyons
0000000842,席瓦,右投右打,1985/03/28,巴西,Tiago Silva
0000000843,田家安,左投左打,1979/08/22,中華民國,
0000000844,郭銘仁,右投左打,1983/06/13,中華民國,
0000000845,佐藤秀樹,右投右打,1970/04/21,日本,Sato Hideki
0000000846,山崎友和,右投右打,1974/04/22,日本,Yamazaki Tomokazu
0000000847,威納斯,右投右打,1977/01/19,多明尼加,Wilton Veras
0000000848,拉米瑞茲,右投右打,1976/08/15,多明尼加,Ramirez Enrique
0000000849,馬力歐,右投右打,1975/09/24,多明尼加,Mario Encarnacion
0000000850,林恩宇,右投右打,1981/03/25,中華民國,
0000000851,米力威,右投右打,1979/04/26,多明尼加,Rene Miniel
0000000853,周思齊,左投左打,1981/10/26,中華民國,
0000000854,黃泰龍,右投右打,1983/03/16,中華民國,
0000000855,比克,左投左打,1975/03/12,美國,Kevin Pickford
0000000856,陳家鴻,右投右打,1981/04/02,中華民國,
0000000857,高瑋,右投右打,1980/02/26,中華民國,
0000000858,陳致鵬,右投右打,1981/01/15,中華民國,
0000000859,費南德茲,右投右打,1971/06/16,多明尼加,Fernando Hernandez
0000000860,塔尼,右投右打,1973/08/20,多明尼加,Jose Paniagua
0000000861,賈西亞,右投右打,1975/05/20,多明尼加,Amaury Garcia
0000000863,瓦茲,右投右打,1979/08/30,多明尼加,Milvio Cuevas
0000000864,柏頓,右投右打,1969/12/02,多明尼加,Rudy Pemberton
0000000865,威格斯,右投右打,1978/08/08,波多黎各,Felix Villegas
0000000866,湯姆,左投左打,1981/08/24,澳大利亞,Thomas Brice
0000000867,捷猛士,右投右打,1977/05/19,美國,James Lira
0000000868,聖地牙哥,右投右打,1974/11/15,美國,Jose Santiago
0000000869,羅伯特,右投右打,1976/09/30,美國,Robert Averett
0000000870,米克,右投右打,1977/08/08,美國,Travis Minix
0000000871,考菲,右投左打,1977/05/16,荷蘭,Ivanon Coffie
0000000872,金濟斌,右投右打,1982/03/31,韓國,Kim Jebin
0000000874,威爾,左投左打,1980/08/08,荷蘭,Diegomar Markwell
0000000875,羅德,左投左打,1974/12/18,美國,Jose Rodriguez
0000000876,傑樂米,右投右打,1977/08/08,美國,Jeremy Hill
0000000877,派特,右投右打,1969/12/10,美國,Pat Ahearne
0000000878,金大宇,右投左打,1984/07/26,韓國,
0000000879,安狄,左投右打,1979/07/31,美國,Andy van Hekken
0000000880,卡斯帝,右投右打,1975/04/21,美國,Carlos Castillo
0000000881,胡仁偉,右投右打,1983/02/21,中華民國,
0000000882,艾力士,右投左打,1981/04/30,委內瑞拉,Alex Nunez
0000000883,拿破崙,右投右打,1977/02/09,多明尼加,Napoleon Calzado
0000000884,安立奎,左投左打,1984/11/03,委內瑞拉,Leovildo Pargas
0000000885,保羅,左投右打,1979/11/07,澳大利亞,Paul Weichard
0000000886,麥克,右投右打,1977/01/03,美國,Mike Crudale
0000000887,布萊德,左投左打,1974/12/27,美國,Nathan Bland
0000000888,雷霸龍,右投左打,1979/03/28,多明尼加,Willy Lebron
0000000889,海克特,右投右打,1975/10/17,多明尼加,Hector Almonte
0000000890,韋伯,右投右打,1979/05/23,美國,John Webb
0000000891,力歐,右投右打,1976/12/08,美國,Jose Leon
0000000906,王政浩,右投右打,1989/09/25,中華民國,
0000000908,蘇緯達,右投左打,1990/11/10,中華民國,
0000000910,張進德,右投左打,1993/05/17,中華民國,
0000000913,歐耀宗,右投右打,1992/05/15,中華民國,
0000000915,黃義坤,右投右打,1989/10/24,中華民國,
0000000919,潘耀傑,右投右打,1993/04/21,中華民國,
0000000921,范孟晨,右投右打,1991/07/08,中華民國,
0000000929,王威晨,右投左打,1991/07/03,中華民國,
0000000932,張竣龍,右投右打,1993/05/20,中華民國,
0000000933,吳柏龍,右投右打,1990/11/02,中華民國,
0000000935,王柏融,右投左打,1993/09/09,中華民國,
0000000937,林威志,右投右打,1992/09/29,中華民國,
0000000938,張瑞麟,左投左打,1992/06/28,中華民國,
0000000941,陳冠宇,左投左打,1990/10/29,中華民國,
0000000960,蔡孟達,右投右打,1992/06/06,中華民國,
0000000962,陳詠曜,右投右打,1990/12/15,中華民國,
0000000964,潘世勳,右投左打,1990/10/15,中華民國,
0000000966,潘振山,右投右打,1992/05/04,中華民國,
0000000968,何昱德,右投右打,1991/09/21,中華民國,
0000000975,簡嘉佑,右投右打,1991/06/10,中華民國,
0000000976,林明杰,右投右打,1991/03/18,中華民國,
0000000998,邱浩鈞,右投右打,1990/12/29,中華民國,
0000000999,吳柏毅,右投右打,1991/4/1,中華民國,
0000001005,彭識穎,左投左打,1992/07/02,中華民國,
0000001040,傅偉堯,右投左打,1992/05/06,中華民國,
0000001043,蔡益民,左投左打,1990/10/22,中華民國,
0000001047,陳敬岦,右投右打,1990/04/27,中華民國,
0000001083,甘少康,右投右打,1993/01/14,中華民國,
0000001084,蔡智榆,右投右打,1992/02/21,中華民國,
0000001088,陳冠儒,左投右打,1991/07/09,中華民國,
0000001107,郭峻偉,右投右打,1992/07/18,中華民國,
0000001112,林航,左投左打,1993/03/01,中華民國,
0000001114,曾陶鎔,右投右打,1991/04/27,中華民國,
0000001118,高國麟,右投右打,1993/01/02,中華民國,
0000001119,許基宏,右投左打,1992/07/22,中華民國,
0000001122,陳舜松,右投右打,1990/10/25,中華民國,
0000001126,鄭文豪,右投左打,1990/12/13,中華民國,
0000001129,潘志芳,右投左打,1990/11/12,中華民國,
0000001132,戴如量,右投右打,1992/02/06,中華民國,
0000001134,徐正奇,右投右打,1992/04/20,中華民國,
0000001136,陳勤宗,右投右打,1993/02/27,中華民國,
0000001139,潘庭豐,左投左打,1992/12/31,中華民國,
0000001185,胡佩華,右投右打,1992/06/05,中華民國,
0000001186,王翔鷹,右投右打,1992/02/07,中華民國,
0000001194,楊志龍,右投右打,1993/04/07,中華民國,
0000001196,黃勝雄,左投左打,1990/12/03,中華民國,
0000001216,江智傑,右投左打,1991/10/23,中華民國,
0000001217,于森旭,右投左打,1992/12/27,中華民國,
0000001225,朱誥鎮,右投右打,1992/06/07,中華民國,
0000001228,邱興馳,左投左打,1992/01/22,中華民國,
0000001229,黃佳偉,右投右打,1992/04/09,中華民國,
0000001232,江忠城,右投右打,1990/03/10,中華民國,
0000001234,林郁帆,右投右打,1991/03/19,中華民國,
0000001239,林宗謙,左投左打,1991/07/29,中華民國,
0000001240,鄭鎧文,右投右打,1991/12/18,中華民國,
0000001248,翁偉迪,右投右打,1992/02/07,中華民國,
0000001251,張廖年哲,右投右打,1992/01/25,中華民國,
0000001252,廖俊凱,右投右打,1992/01/12,中華民國,
0000001253,紀品宏,右投左打,1991/07/01,中華民國,
0000001254,林柱,右投右打,1991/10/03,中華民國,
0000001257,鄭佳銘,左投左打,1993/06/21,中華民國,
0000001258,劉時豪,右投左打,1991/03/21,中華民國,
0000001260,郭俊麟,右投右打,1992/02/02,中華民國,
0000001261,陳衍瑞,右投右打,1992/09/25,中華民國,
0000001262,何祖韋,左投左打,1990/09/03,中華民國,
0000001263,洪聖欽,右投右打,1990/11/15,中華民國,
0000001267,邱桎瑋,右投右打,1991/01/28,中華民國,
0000001273,楊聖恩,右投右打,1991/07/12,中華民國,
0000001283,佟百聖,左投左打,1992/01/16,中華民國,
0000001284,陳品捷,右投左打,1991/07/23,中華民國,
0000001285,張耿豪,右投右打,1991/04/11,中華民國,
0000001286,馮健庭,右投右打,1992/01/05,中華民國,
0000001287,施智瑋,右投右打,1991/02/17,中華民國,
0000001289,李正揚,右投右打,1991/02/16,中華民國,
0000001291,郭阜林,右投右打,1991/01/07,中華民國,
0000001293,蘇緯麟,右投右打,1991/01/06,中華民國,
0000001294,王于文,左投左打,1990/11/28,中華民國,
0000001311,郭展誠,右投右打,1990/12/11,中華民國,
0000001312,林振強,右投右打,1991/06/12,中華民國,
0000001316,葉書茗,右投右打,1991/06/30,中華民國,
0000001318,朱育賢,左投左打,1991/11/26,中華民國,
0000001321,駱政宇,右投右打,1991/12/01,中華民國,
0000001322,王偉爵,左投左打,1991/09/14,中華民國,
0000001330,吳蔚驊,右投右打,1991/03/15,中華民國,
0000001331,高耀佐,右投右打,1991/09/25,中華民國,
0000001337,吳松勳,右投右打,1992/08/16,中華民國,
0000001339,林祖傑,右投右打,1991/05/13,中華民國,
0000001348,胡建庭,右投右打,1990/03/01,中華民國,
0000001349,周磊,右投右打,1991/04/16,中華民國,
0000001350,鄭佳彥,左投左打,1992/07/29,中華民國,
0000001353,林伽聰,右投右打,1991/07/24,中華民國,
0000001370,藍少安,右投左打,1992/02/07,中華民國,
0000001375,盧漢鑫,右投左打,1991/02/12,中華民國,
0000001377,趙偉盛,左投左打,1991/10/22,中華民國,
0000001379,林逸翔,左投左打,1992/12/16,中華民國,
0000001383,黃俊祥,右投右打,1990/09/14,中華民國,
0000001384,陳鼎元,右投右打,1992/08/06,中華民國,
0000001387,王梓安,右投右打,1990/10/09,中華民國,
0000001390,王躍霖,右投右打,1991/02/05,中華民國,
0000001391,朱桂峯,右投右打,1990/11/22,中華民國,
0000001394,羅國華,右投右打,1992/10/28,中華民國,
0000001396,楊仕胤,右投右打,1990/11/27,中華民國,
0000001404,羅華韋,左投左打,1990/12/01,中華民國,
0000001406,莊駿凱,右投右打,1991/12/15,中華民國,
0000001407,陳冠傑,右投右打,1994/07/08,中華民國,
0000001409,吳東融,右投右打,1991/09/29,中華民國,
0000001410,黃家偉,右投右打,1993/02/15,中華民國,
0000001412,江少慶,右投右打,1993/11/10,中華民國,
0000001414,林知譽,右投右打,1993/03/30,中華民國,
0000001419,蔡子凡,右投右打,1993/09/08,中華民國,
0000001422,傅韋傑,右投右打,1994/07/17,中華民國,
0000001443,李孟燁,右投右打,1994/02/17,中華民國,
0000001459,陳根良,右投右打,1992/04/20,中華民國,
0000001463,黃稚峰,右投右打,1993/05/22,中華民國,
0000001472,森榮鴻,右投右打,1994/08/20,中華民國,
0000001473,李宗賢,右投右打,1994/06/29,中華民國,
0000001474,蘇智傑,右投左打,1994/07/28,中華民國,
0000001500,范孟傑,右投左打,1992/12/31,中華民國,
0000001512,洪子傑,右投右打,1994/02/11,中華民國,
0000001515,吳哲源,右投右打,1994/08/12,中華民國,
0000001524,劉昱言,左投左打,1994/07/27,中華民國,
0000001535,林健傑,右投右打,1993/02/12,中華民國,
0000001603,王維中,左投左打,1992/04/25,中華民國,
0000001606,林岱安,右投右打,1992/06/23,中華民國,
0000001609,張力軒,右投右打,1992/04/28,中華民國,
0000001617,游朝惟,右投右打,1993/04/16,中華民國,
0000001618,林子偉,右投左打,1994/02/15,中華民國,
0000001619,伊斯坦大比力安,右投右打,1994/08/14,中華民國,
0000001651,余俊葦,右投右打,1992/03/14,中華民國,
0000001675,林丞軒,右投右打,1993/06/22,中華民國,
0000001679,高杰,右投右打,1993/06/01,中華民國,
0000001711,馬駿威,左投左打,1991/09/06,中華民國,
0000001712,張承駿,右投右打,1994/04/12,中華民國,
0000001713,林驛騰,右投左右開弓,1992/01/04,中華民國,
0000001719,胡智爲,右投右打,1993/11/04,中華民國,
0000001754,林書逸,右投左打,1993/05/20,中華民國,
0000001755,謝榮展,右投左打,1992/09/07,中華民國,
0000001756,吳桀睿,右投右打,1993/04/07,中華民國,
0000001759,朱宏原,右投右打,1992/03/20,中華民國,
0000001782,蔡鈞岱,右投右打,1992/05/04,中華民國,
0000001804,陳傑憲,右投左打,1994/01/07,中華民國,
0000001807,林麒豪,右投右打,1992/12/04,中華民國,
0000001816,林志洋,右投左打,1994/07/21,中華民國,
0000001821,林子昱,右投右打,1993/09/19,中華民國,
0000001822,張文瑋,左投左打,1991/10/03,中華民國,
0000001858,宗接唯人,右投右打,1994/07/06,日本,Munetsugu Yuito
0000001925,馬帝斯,右投右打,1987/03/30,荷蘭,Shairon Martis
0000002031,川﨑宗則,右投左打,1981/06/03,日本,Munenori Kawasaki
0000002090,川原弘之,左投左打,1991/08/23,日本,Kawahara Hiroyuki
0000002091,有馬翔,左投左打,1990/06/05,日本,Arima Sho
0000002092,伊藤和雄,右投右打,1989/12/13,日本,Ito Kazuo
0000002093,島本浩也,左投左打,1993/02/14,日本,Shimamoto Hiroya
0000002094,木谷良平,右投右打,1989/04/07,日本,Kiya Ryohei
0000002095,徳山武陽,右投左右開弓,1989/07/21,日本,Tokuyama Takeaki
0000002096,松本竜也,左投左打,1993/04/29,日本,Matsumoto Ryuya
0000002097,小杉陽太,右投右打,1985/12/08,日本,Kosugi Yota
0000002098,佐藤祥万,左投左打,1989/08/18,日本,Satoh Shoma
0000002099,小川龍也,左投左打,1991/09/03,日本,Ogawa Ryuya
0000002100,山下斐紹,右投左打,1992/11/16,日本,Yamashita Ayatsugu
0000002101,中村悠平,右投右打,1990/06/17,日本,Nakamura Yuhei
0000002102,河野元貴,右投右打,1991/06/14,日本,Kawano Genki
0000002103,牧原大成,右投左打,1992/10/15,日本,Makihara Taisei
0000002104,山田哲人,右投右打,1992/07/16,日本,Yamada Tetsuto
0000002105,中井大介,右投右打,1989/11/27,日本,Nakai Daisuke
0000002106,脇谷亮太,右投左打,1981/11/04,日本,Wakiya Ryota
0000002107,桑原將志,右投右打,1993/07/21,日本,Kuwahara Masayuki
0000002108,吉川大幾,右投右打,1992/08/21,日本,Yoshikawa Daiki
0000002109,安田圭佑,左投左打,1987/10/06,日本,Yasuda Keisuke
0000002110,一二三慎太,右投右打,1992/09/29,日本,Hifumi Shinta
0000002111,川上竜平,右投右打,1993/05/08,日本,Kawakami Ryuhei
0000002112,大田泰示,右投右打,1990/06/09,日本,Ota Taishi
0000002113,松本啓二朗,左投左打,1986/06/24,日本,Matsumoto Keijiro
0000002114,井藤真吾,右投左打,1990/05/27,日本,Itoh Shingo
0000002115,中谷將大,右投右打,1993/01/05,日本,Nakatani Masahiro
0000002116,羅薩里歐,右投右打,1987/09/07,多明尼加,Yan Carlos Rosario Medina
0000002117,西維里歐,右投右打,1992/06/09,多明尼加,Alexander Silverio
0000002118,哈維爾,右投右打,1987/10/25,多明尼加,Juan Antonio Javier Poche
0000002119,貝羅,右投右打,1984/05/24,多明尼加,Juan Alexi Bello
0000002120,馬賽迪斯,右投右打,1988/12/17,多明尼加,Raffy Macgyber Mercedes Luis
0000002121,羅哈斯,右投右打,1983/02/11,多明尼加,Juan Adolfo Rojas De La Cruz
0000002122,高梅茲,右投右打,1989/12/31,多明尼加,Eduardo Gomez Vasquez
0000002123,羅德里格茲,左投右打,1984/08/12,多明尼加,Noe Rodriguez Santana
0000002124,裴瑞茲,左投左打,1989/10/18,多明尼加,Henry Alexander Perez
0000002125,桑塔納,右投右打,1985/12/26,多明尼加,Julio Cesar Santana Cafe
0000002126,胡安,左投左打,1985/02/14,多明尼加,Pascual Juan
0000002127,雅各,左投左打,1986/06/15,多明尼加,Dioheban Alberto Jequei Veloz
0000002128,迪亞茲胡安,右投右打,1991/03/02,多明尼加,Juan Alejandro Diaz Arias
0000002129,里維拉,右投右打,1987/06/02,多明尼加,Manuel Lennin Rivera Garcia
0000002130,胡立安,右投右打,1988/10/08,多明尼加,Raudy Julian Ovilsano
0000002131,塔瓦瑞茲,右投右打,1987/06/28,多明尼加,Pedro Alberto Tavarez Louis
0000002132,米西亞,右投右打,1982/06/15,多明尼加,Anderson Mejia
0000002133,貝爾川,右投右打,1988/07/09,多明尼加,Joselito Beltran
0000002134,羅傑斯,右投右打,1982/09/10,多明尼加,Jose Rogers
0000002135,拉米瑞茲,右投右打,1992/04/28,多明尼加,Freidderix Ramirez Batista
0000002136,迪亞茲,右投右打,1987/01/20,多明尼加,Kelvin Diaz
0000002137,卡斯楚,右投右打,1991/12/09,多明尼加,Whilkin Castro Mena
0000002138,帕亞諾,右投左右開弓,1990/02/20,多明尼加,Junior Payano
0000002139,魯安,右投右打,1978/09/18,多明尼加,Wilkin Ruan Chal
0000002140,岡薩雷茲,右投右打,1987/02/27,多明尼加,Julio Angel Gonzalez Rosario
0000002141,哈瓦雷拉,右投右打,1988/08/02,多明尼加,Jose Reynaldo Javalera Marte
0000002142,諾爾,右投左右開弓,1987/09/29,多明尼加,Luis Noel
0000002143,梅克,左投左打,1983/10/01,多明尼加,Jacobo Meque Florentino
0000002144,奎斯特,右投右打,1986/06/29,多明尼加,Marcos Jose Cuesto Benitez
0000002145,馬迪納,左投左打,1986/06/30,多明尼加,Leonel Medina Espiritu
0000002146,上野啟輔,右投右打,1986/03/06,日本,Ueno Keisuke
0000002147,卡諾,右投右打,1981/07/16,多明尼加,Charly Cano
0000002148,丸毛謙一,右投右打,1988/08/02,日本,Marumo Kenichi
0000002166,梁訓,右投右打,1986/05/29,韓國,Yang Hoon
0000002167,陳雅各,左投左打,1989/04/11,韓國,Jin Ya Gob
0000002168,任基準,左投左打,1991/10/08,韓國,Lim Ki Jun
0000002169,安星武,右投右打,1990/12/14,韓國,An Sung Mou
0000002170,禹炳杰,右投右打,1990/03/31,韓國,Woo Byung Gul
0000002171,催源宰,右投左打,1987/04/29,韓國,Choi Won Jae
0000002172,徐眞勇,右投右打,1992/10/02,韓國,Seo Jin Yong
0000002173,金廷勳,右投右打,1991/10/02,韓國,Kim Jeon Ghun
0000002174,洪建喜,右投右打,1993/09/29,韓國,Hong Geon Hui
0000002175,李顯鎬,左投左打,1992/07/14,韓國,Lee Hyun Ho
0000002176,尹犁耘,右投右打,1990/02/22,韓國,Yoon Yeo Woon
0000002177,朴世雄,右投右打,1993/08/12,韓國,Park Se Woong
0000002178,金珉植,右投左打,1989/06/28,韓國,Kim Min Sik
0000002179,崔炡敏,右投左打,1989/06/02,韓國,Choi Jung Min
0000002180,柳志赫,右投左打,1994/01/13,韓國,Ryu Ji Hyuk
0000002181,徐祥祐,右投左打,1989/09/17,韓國,Seo Sang Woo
0000002182,具滋昱,右投左打,1993/02/12,韓國,Koo Ja Wook
0000002183,柳旻相,右投左打,1989/04/13,韓國,Yoo Min Sang
0000002184,金齎聿,右投右打,1989/01/14,韓國,Kim Jae Yool
0000002185,朴起民,右投左打,1988/05/15,韓國,Park Ki Min
0000002186,黃潤琥,右投右打,1993/09/22,韓國,Hwang Yun Ho
0000002187,張暎錫,右投右打,1990/05/15,韓國,Jang Young Suk
0000002188,鄭振浩,右投左打,1990/05/14,韓國,Jung Jin Ho
0000002189,朴正音,左投左打,1989/04/15,韓國,Park Jeong Eum
0000002190,尹晶右,右投右打,1988/05/12,韓國,Yoon Jung Woo
0000002191,吳俊赫,右投左打,1992/03/11,韓國,Oh Junh Yeok
0000002192,金鎮率,右投右打,1990/09/25,韓國,Kim Jin Sol
0000002193,薩維里諾,左投左打,1975/08/06,多明尼加,Ronis Severino
0000002194,安都華,右投右打,1987/08/24,多明尼加,Chris Andujar
0000002195,亞里亞斯,右投右打,1987/03/17,多明尼加,Santo Arias
0000002196,弗蘭德斯,右投右打,1983/04/27,多明尼加,Wington Flandes
0000002197,皮內達,右投右打,1989/05/25,多明尼加,Francoris Pineda
0000002198,巴桑,右投右打,1990/05/19,多明尼加,Jose Pasen
0000002199,康特雷拉斯霍黑,右投右打,1993/10/07,多明尼加,Jorge Contreras
0000002200,阿藍德,右投右打,1986/10/04,多明尼加,Kelvin Arrendell
0000002201,德斯頓,右投右打,1986/08/10,多明尼加,Geraldo Desten
0000002203,奎瓦思,右投右打,1988/11/30,多明尼加,Justino Cuevas
0000002204,詹姆士,右投右打,1987/11/25,多明尼加,Andres James
0000002205,康特雷拉斯伊凡,右投左右開弓,1987/01/03,多明尼加,Ivan Contreras
0000002206,里厚,左投左打,1988/11/25,多明尼加,Cristian Rijo
0000002207,卡米內洛,右投右打,1989/10/27,多明尼加,Leandro Caminero
0000002208,哈維爾,右投右打,1991/06/15,多明尼加,Sony Javier
0000002209,桑切斯,右投右打,1987/12/29,多明尼加,Josias Sanchez
0000002210,特力尼德,右投右打,1990/12/23,多明尼加,Víctor Trinidad
0000002211,卡斯塔諾,右投右打,1987/10/01,多明尼加,Jeffrie Castaño
0000002214,尹榮三,右投左右開弓,1992/07/14,韓國,Yoon Youngsam
0000002215,申旻財,右投右打,1992/03/03,韓國,Shin Minjae
0000002216,宋胤準,左投左打,1992/07/16,韓國,Song Yunjun
0000002217,安圭賢,右投右打,1995/11/30,韓國,An Kyu Hyun
0000002218,金喜援,右投右打,1994/06/07,韓國,Kim Huiwon
0000002219,宋周殷,右投右打,1994/03/25,韓國,Song Jueun
0000002220,李受珉,左投左打,1995/09/11,韓國,Lee Sumin
0000002221,許建燁,右投右打,1993/07/24,韓國,Heo Geonyeop
0000002222,車材龍,左投左打,1996/08/20,韓國,Cha Jaeyong
0000002223,閔成基,左投左打,1989/09/12,韓國,Min Sungki
0000002224,金思勳,右投右打,1987/06/18,韓國,Kim Sahoon
0000002225,權正雄,右投右打,1992/11/15,韓國,Kwonjeong Woong
0000002226,趙允晙,右投右打,1989/08/30,韓國,Cho Youn Joon
0000002227,辛本基,右投右打,1989/03/21,韓國,Shin Bonki
0000002228,安致弘,右投右打,1990/07/02,韓國,An Chihong
0000002229,鄭炫,右投右打,1994/06/01,韓國,Jung Hyun
0000002230,林祉閱,右投右打,1995/08/22,韓國,Im Ji Yeol
0000002231,文珍堤,右投左打,1991/08/01,韓國,Moon Jin Je
0000002232,黃大仁,右投右打,1996/02/10,韓國,Hwang Daein
0000002233,尹承烈,左投左打,1993/07/08,韓國,Yoon Seung Yeol
0000002234,朴俊赫,右投左打,1991/01/09,韓國,Park Junhyuck
0000002235,李炅錄,右投右打,1989/01/18,韓國,Lee Kyungrok
0000002236,李城坤,右投左打,1992/03/25,韓國,Lee Sung Kon
0000002237,金到炫,右投右打,1992/10/23,韓國,Kim Dohyun
0000002239,李眞祏,右投右打,1995/05/20,韓國,Lee Jinseok
0000002240,裵炳玉,右投右打,1995/11/21,韓國,Bae Byungok
0000002241,安德烈歐茲,右投右打,1993/04/01,義大利,Andreozzi Milvio
0000002242,布連斯,右投右打,1995/12/27,比利時,Buelens Sam
0000002243,塞佩達斯,右投右打,1994/01/14,法國,Cespedes Leonel
0000002244,可洛斯,右投左打,1991/11/22,捷克,Chroust Premek
0000002245,克里巴底,右投右打,1992/02/19,義大利,Crepaldi Filippo
0000002246,迪多,右投右打,1995/12/07,義大利,Deotto Alessandro
0000002247,迪克曼,右投右打,1996/06/14,德國,Dickman Lucas
0000002248,伊密客,左投左打,1994/07/14,德國,Ehmcke Maik
0000002249,凡巴尼,右投右打,1997/02/28,義大利,Fabiani Diego
0000002250,費南德茲,右投右打,1992/02/23,荷蘭,Fernandes Daniel
0000002251,法契歐拉,左投左打,1991/09/10,義大利,Fracchiolla Gianny
0000002252,吉拉迪,右投右打,1992/04/12,荷蘭,Gerard Rashid
0000002253,佐丹尼,右投右打,1997/11/23,義大利,Giordani Federico
0000002254,佐高福克,右投右打,1995/11/20,克羅埃西亞,Gojkovic Kruno
0000002255,霍華德,右投右打,1989/02/11,德國,Howard Christopher
0000002256,哈和爾,右投右打,1993/09/22,荷蘭,Huijer Lars
0000002257,坎普,右投右打,1993/09/02,荷蘭,Kemp Urving
0000002258,馬東,右投左右開弓,1992/10/21,義大利,Martone Luca
0000002259,默克力,右投右打,1994/08/20,義大利,Mercuri Mattia
0000002260,米尼歐,右投左打,1994/07/23,義大利,Mineo Alberto
0000002261,諾古拉,右投左右開弓,1991/01/10,義大利,Noguera Freddy
0000002262,歐贊尼契,右投右打,1989/06/23,法國,Ozanich Owen
0000002263,寶馬,左投左打,1993/06/13,義大利,Poma Sebastiano
0000002264,瑞特,右投右打,1995/04/26,荷蘭,Rietel Maickel
0000002265,山契斯,右投右打,1996/10/03,西班牙,Sanchez Javier
0000002266,薛爾,左投左打,1993/02/10,荷蘭,Schel Robin
0000002267,舒爾特,右投右打,1997/10/04,荷蘭,Schutte Matz
0000002268,賽爾登,右投左打,1994/11/12,美國,Sheldon Bryan
0000002269,西本,右投右打,1993/09/18,德國,Thieben Daniel
0000002270,威海特,右投右打,1991/02/22,荷蘭,Weijgertse Kevin
0000002271,黃恩賜,右投左打,1996/05/17,中華民國,
0000002272,賴智垣,右投右打,1997/02/28,中華民國,
0000002273,曾琦,右投右打,1997/01/23,中華民國,
0000002274,黃子鵬,右投左打,1994/03/19,中華民國,
0000002275,林安可,左投左打,1997/05/19,中華民國,
0000002276,鄭鈞仁,右投右打,1995/11/03,中華民國,
0000002277,吳丞哲,右投右打,1995/04/09,中華民國,
0000002278,王玉譜,左投左打,1996/01/18,中華民國,
0000002279,吳俊杰,右投右打,1996/11/07,中華民國,
0000002280,廖任磊,右投右打,1993/08/30,中華民國,
0000002281,廖乙忠,右投右打,1995/11/02,中華民國,
0000002282,張閔勛,右投右打,1994/08/08,中華民國,
0000002284,陳宗鈺,右投右打,1996/09/19,中華民國,
0000002285,高宇杰,右投右打,1997/07/17,中華民國,
0000002286,林立,右投右打,1996/01/01,中華民國,
0000002287,楊岱均,右投右打,1993/09/19,中華民國,
0000002288,施冠勛,右投右打,1996/05/16,中華民國,
0000002289,陳重廷,右投右打,1995/09/14,中華民國,
0000002290,張皓緯,右投右打,1994/12/13,中華民國,
0000002291,岳東華,右投左打,1995/10/19,中華民國,
0000002292,俎品辰,右投左打,1996/06/28,中華民國,
0000002293,洪瑋漢,左投左打,1995/12/03,中華民國,
0000002294,高淮安,右投左打,1995/11/30,中華民國,
0000002295,林焌翰,右投左打,1995/04/23,中華民國,
